"DATE","TIME PERIOD","Current account balance (BPS.M.N.AT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BG.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.EE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.GR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.IT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LU.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LV.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.MT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.PT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SK.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance, calendar and seasonally adjusted (BPS.M.Y.I10.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)"
"1977-09-30","1977Sep","","","","-373.000"
"1977-10-31","1977Oct","","","","2143.000"
"1977-11-30","1977Nov","","","","827.000"
"1977-12-31","1977Dec","","","","853.000"
"1978-01-31","1978Jan","","","","575.000"
"1978-02-28","1978Feb","","","","894.000"
"1978-03-31","1978Mar","","","","1441.000"
"1978-04-30","1978Apr","","","","742.000"
"1978-05-31","1978May","","","","584.000"
"1978-06-30","1978Jun","","","","726.000"
"1978-07-31","1978Jul","","","","-575.000"
"1978-08-31","1978Aug","","","","259.000"
"1978-09-30","1978Sep","","","","770.000"
"1978-10-31","1978Oct","","","","1930.000"
"1978-11-30","1978Nov","","","","1343.000"
"1978-12-31","1978Dec","","","","1040.000"
"1979-01-31","1979Jan","","","","142.000"
"1979-02-28","1979Feb","","","","895.000"
"1979-03-31","1979Mar","","","","739.000"
"1979-04-30","1979Apr","","","","520.000"
"1979-05-31","1979May","","","","-226.000"
"1979-06-30","1979Jun","","","","-1159.000"
"1979-07-31","1979Jul","","","","-1561.000"
"1979-08-31","1979Aug","","","","-2231.000"
"1979-09-30","1979Sep","","","","-901.000"
"1979-10-31","1979Oct","","","","-260.000"
"1979-11-30","1979Nov","","","","-204.000"
"1979-12-31","1979Dec","","","","-1157.000"
"1980-01-31","1980Jan","","","","-774.000"
"1980-02-29","1980Feb","","","","-897.000"
"1980-03-31","1980Mar","","","","104.000"
"1980-04-30","1980Apr","","","","-1049.000"
"1980-05-31","1980May","","","","-687.000"
"1980-06-30","1980Jun","","","","-1344.000"
"1980-07-31","1980Jul","","","","-2410.000"
"1980-08-31","1980Aug","","","","-2914.000"
"1980-09-30","1980Sep","","","","-1163.000"
"1980-10-31","1980Oct","","","","-1059.000"
"1980-11-30","1980Nov","","","","-956.000"
"1980-12-31","1980Dec","","","","-970.000"
"1981-01-31","1981Jan","","","","-2417.000"
"1981-02-28","1981Feb","","","","-337.000"
"1981-03-31","1981Mar","","","","-1223.000"
